"Story","Title","Result","Date","Stability","Duration (s)"
"Finding New Cars","User finding a new car","SUCCESS","2021-10-23T13:44:08.5371507+02:00[Africa/Cairo]","0.0","0.32"
"Finding Car price and brand names","User finding Car price and Brand names","SUCCESS","2021-10-23T13:44:08.8635619+02:00[Africa/Cairo]","0.0","0.11"
